timestamp,timestamp,cluster_node_list,cpu_usage_percentage,node_status,cpu_reserve,mem_usage_percentage,mem_reserve,gpu_usage_percentage,gpu_temperature,Power,Energy
2024/08/05 14:44:24,2024/08/05 14:44:24,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 9.45, 'cillium2': 1.39, 'cillium3': 1.14}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium3': 0}","{'cillium1': 12.25, 'cillium2': 3.55, 'cillium3': 12.44}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium3': 0}",{'cillium3': 0.0},{'cillium3': 40.0},180,164.5
2024/08/05 14:44:29,2024/08/05 14:44:29,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 10.65, 'cillium2': 1.51, 'cillium3': 0.71}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium3': 0}","{'cillium1': 12.2, 'cillium2': 3.55, 'cillium3': 12.45}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium3': 0}",{'cillium3': 0.0},{'cillium3': 40.0},160,164.5
2024/08/05 14:44:35,2024/08/05 14:44:35,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 8.42, 'cillium2': 1.61, 'cillium3': 0.71}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium3': 0}","{'cillium1': 12.2, 'cillium2': 3.55, 'cillium3': 12.45}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium3': 0}",{'cillium3': 0.0},{'cillium3': 40.0},180,164.5
2024/08/05 14:44:40,2024/08/05 14:44:40,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 9.1, 'cillium2': 2.05, 'cillium3': 0.91}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium3': 0}","{'cillium1': 12.2, 'cillium2': 3.55, 'cillium3': 12.44}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium3': 0}",{'cillium3': 0.0},{'cillium3': 40.0},180,164.5
2024/08/05 14:44:46,2024/08/05 14:44:46,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 8.95, 'cillium2': 1.47, 'cillium3': 0.69}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium3': 0}","{'cillium1': 12.21, 'cillium2': 3.55, 'cillium3': 12.45}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium3': 0}",{'cillium3': 0.0},{'cillium3': 40.0},180,164.5
2024/08/05 14:44:51,2024/08/05 14:44:51,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 8.63, 'cillium2': 1.85, 'cillium3': 0.26}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium3': 0}","{'cillium1': 12.21, 'cillium2': 3.55, 'cillium3': 12.44}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium3': 0}",{'cillium3': 0.0},{'cillium3': 40.0},180,164.5
2024/08/05 14:44:57,2024/08/05 14:44:57,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 8.54, 'cillium2': 1.8, 'cillium3': 0.88}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium3': 0}","{'cillium1': 12.21, 'cillium2': 3.55, 'cillium3': 12.44}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium3': 0}",{'cillium3': 0.0},{'cillium3': 40.0},180,164.5
2024/08/05 14:45:02,2024/08/05 14:45:02,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 8.46, 'cillium2': 1.56, 'cillium3': 0.75}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium3': 0}","{'cillium1': 12.22, 'cillium2': 3.55, 'cillium3': 12.44}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium3': 0}",{'cillium3': 0.0},{'cillium3': 40.0},160,164.5
2024/08/05 14:45:08,2024/08/05 14:45:08,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 8.91, 'cillium2': 2.02, 'cillium3': 0.76}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium3': 0}","{'cillium1': 12.23, 'cillium2': 3.55, 'cillium3': 12.44}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium3': 0}",{'cillium3': 0.0},{'cillium3': 40.0},160,164.5
2024/08/05 14:45:13,2024/08/05 14:45:13,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 10.48, 'cillium2': 1.79, 'cillium3': 1.28}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium3': 0}","{'cillium1': 12.23, 'cillium2': 3.55, 'cillium3': 12.44}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium3': 0}",{'cillium3': 0.0},{'cillium3': 40.0},160,164.5
2024/08/05 14:45:18,2024/08/05 14:45:18,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 9.95, 'cillium2': 1.4, 'cillium3': 0.06}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium3': 0}","{'cillium1': 12.24, 'cillium2': 3.55, 'cillium3': 12.44}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium3': 0}",{'cillium3': 0.0},{'cillium3': 40.0},160,164.5
2024/08/05 14:45:24,2024/08/05 14:45:24,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 8.75, 'cillium2': 1.95, 'cillium3': 0.87}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium3': 0}","{'cillium1': 12.25, 'cillium2': 3.55, 'cillium3': 12.44}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium3': 0}",{'cillium3': 0.0},{'cillium3': 40.0},160,164.5
2024/08/05 14:45:29,2024/08/05 14:45:29,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 8.62, 'cillium2': 1.89, 'cillium3': 1.62}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium3': 0}","{'cillium1': 12.25, 'cillium2': 3.55, 'cillium3': 12.44}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium3': 0}",{'cillium3': 0.0},{'cillium3': 40.0},160,164.5
2024/08/05 14:45:35,2024/08/05 14:45:35,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 9.88, 'cillium2': 1.89, 'cillium3': 0.57}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium3': 0}","{'cillium1': 12.26, 'cillium2': 3.55, 'cillium3': 12.44}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium3': 0}",{'cillium3': 0.0},{'cillium3': 40.0},180,164.5
2024/08/05 14:45:40,2024/08/05 14:45:40,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 11.25, 'cillium2': 1.35, 'cillium3': 1.76}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium3': 0}","{'cillium1': 12.34, 'cillium2': 3.55, 'cillium3': 12.44}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium3': 0}",{'cillium3': 0.0},{'cillium3': 40.0},160,164.5
2024/08/05 14:45:46,2024/08/05 14:45:46,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 11.41, 'cillium2': 1.48, 'cillium3': 0.76}","{'cillium4': False, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium3': 0}","{'cillium1': 12.23, 'cillium2': 3.55, 'cillium3': 12.43}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium3': 0}",{'cillium3': 0.0},{'cillium3': 40.0},160,164.5
