timestamp,timestamp,cluster_node_list,cpu_usage_percentage,node_status,cpu_reserve,mem_usage_percentage,mem_reserve,gpu_usage_percentage,gpu_temperature,Power,Energy
2024/07/31 07:47:12,2024/07/31 07:47:12,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 1.09, 'cillium1': 9.62, 'cillium2': 1.51}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium3': 0.2}","{'cillium4': 12.35, 'cillium1': 13.95, 'cillium2': 2.95}","{'cillium4': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium3': 0.1}",{'cillium4': 0.0},{'cillium4': 36.0},160,128.0
2024/07/31 07:47:17,2024/07/31 07:47:17,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 0.62, 'cillium1': 11.14, 'cillium2': 1.33}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium3': 0.2}","{'cillium4': 12.35, 'cillium1': 13.89, 'cillium2': 2.95}","{'cillium4': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium3': 0.1}",{'cillium4': 0.0},{'cillium4': 36.0},160,128.0
2024/07/31 07:47:23,2024/07/31 07:47:23,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 0.89, 'cillium1': 12.39, 'cillium2': 1.11}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium3': 0.2}","{'cillium4': 12.35, 'cillium1': 13.9, 'cillium2': 2.95}","{'cillium4': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium3': 0.1}",{'cillium4': 0.0},{'cillium4': 36.0},160,128.0
2024/07/31 07:47:28,2024/07/31 07:47:28,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 1.36, 'cillium1': 10.84, 'cillium2': 1.32}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium3': 0.2}","{'cillium4': 12.35, 'cillium1': 13.91, 'cillium2': 2.95}","{'cillium4': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium3': 0.1}",{'cillium4': 0.0},{'cillium4': 36.0},160,128.0
2024/07/31 07:47:34,2024/07/31 07:47:34,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 0.97, 'cillium1': 8.23, 'cillium2': 1.61}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium3': 0.2}","{'cillium4': 12.35, 'cillium1': 13.91, 'cillium2': 2.94}","{'cillium4': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium3': 0.1}",{'cillium4': 0.0},{'cillium4': 36.0},160,128.0
2024/07/31 07:47:39,2024/07/31 07:47:39,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 0.34, 'cillium1': 8.02, 'cillium2': 0.86}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium3': 0.2}","{'cillium4': 12.35, 'cillium1': 13.91, 'cillium2': 2.95}","{'cillium4': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium3': 0.1}",{'cillium4': 0.0},{'cillium4': 36.0},160,128.0
2024/07/31 07:47:45,2024/07/31 07:47:45,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 0.76, 'cillium1': 8.28, 'cillium2': 1.16}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium3': 0.2}","{'cillium4': 12.35, 'cillium1': 13.91, 'cillium2': 2.95}","{'cillium4': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium3': 0.1}",{'cillium4': 0.0},{'cillium4': 36.0},160,128.0
2024/07/31 07:47:50,2024/07/31 07:47:50,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 1.5, 'cillium1': 8.61, 'cillium2': 1.32}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium3': 0.2}","{'cillium4': 12.36, 'cillium1': 13.9, 'cillium2': 2.95}","{'cillium4': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium3': 0.1}",{'cillium4': 0.0},{'cillium4': 36.0},160,128.0
2024/07/31 07:47:56,2024/07/31 07:47:56,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 0.99, 'cillium1': 10.04, 'cillium2': 1.25}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium3': 0.2}","{'cillium4': 12.36, 'cillium1': 13.91, 'cillium2': 2.95}","{'cillium4': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium3': 0.1}",{'cillium4': 0.0},{'cillium4': 36.0},160,128.0
2024/07/31 07:48:01,2024/07/31 07:48:01,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 0.88, 'cillium1': 9.86, 'cillium2': 1.74}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium3': 0.2}","{'cillium4': 12.35, 'cillium1': 13.91, 'cillium2': 2.95}","{'cillium4': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium3': 0.1}",{'cillium4': 0.0},{'cillium4': 36.0},160,128.0
2024/07/31 07:48:07,2024/07/31 07:48:07,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 1.34, 'cillium1': 8.71, 'cillium2': 1.76}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium3': 0.2}","{'cillium4': 12.35, 'cillium1': 13.91, 'cillium2': 2.95}","{'cillium4': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium3': 0.1}",{'cillium4': 0.0},{'cillium4': 36.0},160,128.0
2024/07/31 07:48:12,2024/07/31 07:48:12,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 0.57, 'cillium1': 9.16, 'cillium2': 1.42}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium3': 0.2}","{'cillium4': 12.35, 'cillium1': 13.92, 'cillium2': 2.95}","{'cillium4': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium3': 0.1}",{'cillium4': 0.0},{'cillium4': 36.0},160,128.0
2024/07/31 07:48:18,2024/07/31 07:48:18,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 0.56, 'cillium1': 8.57, 'cillium2': 1.28}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium3': 0.2}","{'cillium4': 12.35, 'cillium1': 13.92, 'cillium2': 2.95}","{'cillium4': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium3': 0.1}",{'cillium4': 0.0},{'cillium4': 36.0},160,128.0
2024/07/31 07:48:23,2024/07/31 07:48:23,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 1.37, 'cillium1': 7.86, 'cillium2': 0.89}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium3': 0.2}","{'cillium4': 12.35, 'cillium1': 13.92, 'cillium2': 2.95}","{'cillium4': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium3': 0.1}",{'cillium4': 0.0},{'cillium4': 36.0},160,128.0
2024/07/31 07:48:29,2024/07/31 07:48:29,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 1.22, 'cillium1': 8.31, 'cillium2': 1.35}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium3': 0.2}","{'cillium4': 12.35, 'cillium1': 13.91, 'cillium2': 2.95}","{'cillium4': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium3': 0.1}",{'cillium4': 0.0},{'cillium4': 36.0},160,128.0
2024/07/31 07:48:34,2024/07/31 07:48:34,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 0.5, 'cillium1': 8.61, 'cillium2': 1.6}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium3': 0.2}","{'cillium4': 12.35, 'cillium1': 13.91, 'cillium2': 2.95}","{'cillium4': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium3': 0.1}",{'cillium4': 0.0},{'cillium4': 36.0},160,128.0
2024/07/31 07:48:40,2024/07/31 07:48:40,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 0.98, 'cillium1': 8.23, 'cillium2': 0.86}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium3': 0.2}","{'cillium4': 12.35, 'cillium1': 13.91, 'cillium2': 2.95}","{'cillium4': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium3': 0.1}",{'cillium4': 0.0},{'cillium4': 36.0},160,128.0
2024/07/31 07:48:45,2024/07/31 07:48:45,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 1.35, 'cillium1': 8.33, 'cillium2': 1.34}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium3': 0.2}","{'cillium4': 12.35, 'cillium1': 13.91, 'cillium2': 2.95}","{'cillium4': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium3': 0.1}",{'cillium4': 0.0},{'cillium4': 36.0},160,128.0
2024/07/31 07:48:50,2024/07/31 07:48:50,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 0.89, 'cillium1': 8.15, 'cillium2': 1.35}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium3': 0.2}","{'cillium4': 12.36, 'cillium1': 13.91, 'cillium2': 2.95}","{'cillium4': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium3': 0.1}",{'cillium4': 0.0},{'cillium4': 36.0},160,128.0
