timestamp,timestamp,cluster_node_list,cpu_usage_percentage,node_status,cpu_reserve,mem_usage_percentage,mem_reserve,gpu_usage_percentage,gpu_temperature,Power,Energy
2024/07/31 01:14:53,2024/07/31 01:14:53,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 1.17, 'cillium4': 0.79, 'cillium1': 9.89, 'cillium2': 1.34}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium4': 0, 'cillium1': 0.2, 'cillium2': 0}","{'cillium3': 13.05, 'cillium4': 12.03, 'cillium1': 9.32, 'cillium2': 2.97}","{'cillium3': 0.1, 'cillium4': 0, 'cillium1': 0.15, 'cillium2': 0}","{'cillium3': 0.0, 'cillium4': 0.0}","{'cillium3': 46.0, 'cillium4': 35.0}",230,126.2
2024/07/31 01:14:58,2024/07/31 01:14:58,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 1.07, 'cillium4': 0.16, 'cillium1': 9.62, 'cillium2': 1.4}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium4': 0, 'cillium1': 0.2, 'cillium2': 0}","{'cillium3': 13.05, 'cillium4': 12.03, 'cillium1': 9.32, 'cillium2': 2.97}","{'cillium3': 0.1, 'cillium4': 0, 'cillium1': 0.15, 'cillium2': 0}","{'cillium3': 0.0, 'cillium4': 0.0}","{'cillium3': 46.0, 'cillium4': 35.0}",230,126.2
2024/07/31 01:15:03,2024/07/31 01:15:03,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 0.92, 'cillium4': 0.05, 'cillium1': 8.84, 'cillium2': 1.7}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium4': 0, 'cillium1': 0.2, 'cillium2': 0}","{'cillium3': 13.05, 'cillium4': 12.02, 'cillium1': 9.32, 'cillium2': 2.97}","{'cillium3': 0.1, 'cillium4': 0, 'cillium1': 0.15, 'cillium2': 0}","{'cillium3': 0.0, 'cillium4': 0.0}","{'cillium3': 46.0, 'cillium4': 35.0}",230,126.2
2024/07/31 01:15:09,2024/07/31 01:15:09,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 1.25, 'cillium4': 1.43, 'cillium1': 8.36, 'cillium2': 1.68}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium4': 0, 'cillium1': 0.2, 'cillium2': 0}","{'cillium3': 13.05, 'cillium4': 12.02, 'cillium1': 9.32, 'cillium2': 2.97}","{'cillium3': 0.1, 'cillium4': 0, 'cillium1': 0.15, 'cillium2': 0}","{'cillium3': 0.0, 'cillium4': 0.0}","{'cillium3': 46.0, 'cillium4': 35.0}",230,126.2
2024/07/31 01:15:14,2024/07/31 01:15:14,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 1.14, 'cillium4': 1.58, 'cillium1': 10.25, 'cillium2': 1.0}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium4': 0, 'cillium1': 0.2, 'cillium2': 0}","{'cillium3': 13.06, 'cillium4': 12.02, 'cillium1': 9.32, 'cillium2': 2.97}","{'cillium3': 0.1, 'cillium4': 0, 'cillium1': 0.15, 'cillium2': 0}","{'cillium3': 0.0, 'cillium4': 0.0}","{'cillium3': 46.0, 'cillium4': 35.0}",230,126.2
2024/07/31 01:15:20,2024/07/31 01:15:20,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 0.91, 'cillium4': 0.89, 'cillium1': 8.49, 'cillium2': 0.99}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium4': 0, 'cillium1': 0.2, 'cillium2': 0}","{'cillium3': 13.06, 'cillium4': 12.02, 'cillium1': 9.25, 'cillium2': 2.97}","{'cillium3': 0.1, 'cillium4': 0, 'cillium1': 0.15, 'cillium2': 0}","{'cillium3': 0.0, 'cillium4': 0.0}","{'cillium3': 46.0, 'cillium4': 35.0}",230,126.2
2024/07/31 01:15:25,2024/07/31 01:15:25,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 1.06, 'cillium4': 0.93, 'cillium1': 8.51, 'cillium2': 1.02}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium4': 0, 'cillium1': 0.2, 'cillium2': 0}","{'cillium3': 13.06, 'cillium4': 12.01, 'cillium1': 9.25, 'cillium2': 2.97}","{'cillium3': 0.1, 'cillium4': 0, 'cillium1': 0.15, 'cillium2': 0}","{'cillium3': 0.0, 'cillium4': 0.0}","{'cillium3': 46.0, 'cillium4': 35.0}",230,126.2
2024/07/31 01:15:31,2024/07/31 01:15:31,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 0.74, 'cillium4': 0.99, 'cillium1': 8.74, 'cillium2': 1.23}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium4': 0, 'cillium1': 0.2, 'cillium2': 0}","{'cillium3': 13.06, 'cillium4': 12.01, 'cillium1': 9.25, 'cillium2': 2.97}","{'cillium3': 0.1, 'cillium4': 0, 'cillium1': 0.15, 'cillium2': 0}","{'cillium3': 0.0, 'cillium4': 0.0}","{'cillium3': 46.0, 'cillium4': 35.0}",230,126.2
2024/07/31 01:15:36,2024/07/31 01:15:36,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 1.41, 'cillium4': -0.11, 'cillium1': 9.16, 'cillium2': 1.32}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium4': 0, 'cillium1': 0.2, 'cillium2': 0}","{'cillium3': 13.05, 'cillium4': 12.01, 'cillium1': 9.26, 'cillium2': 2.97}","{'cillium3': 0.1, 'cillium4': 0, 'cillium1': 0.15, 'cillium2': 0}","{'cillium3': 0.0, 'cillium4': 0.0}","{'cillium3': 46.0, 'cillium4': 35.0}",230,126.2
2024/07/31 01:15:42,2024/07/31 01:15:42,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 1.48, 'cillium4': 1.17, 'cillium1': 9.22, 'cillium2': 1.58}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium4': 0, 'cillium1': 0.2, 'cillium2': 0}","{'cillium3': 13.05, 'cillium4': 12.01, 'cillium1': 9.26, 'cillium2': 2.97}","{'cillium3': 0.1, 'cillium4': 0, 'cillium1': 0.15, 'cillium2': 0}","{'cillium3': 0.0, 'cillium4': 0.0}","{'cillium3': 46.0, 'cillium4': 35.0}",230,126.2
2024/07/31 01:15:47,2024/07/31 01:15:47,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 1.01, 'cillium4': 1.71, 'cillium1': 8.0, 'cillium2': 1.45}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium4': 0, 'cillium1': 0.2, 'cillium2': 0}","{'cillium3': 13.05, 'cillium4': 12.01, 'cillium1': 9.26, 'cillium2': 2.97}","{'cillium3': 0.1, 'cillium4': 0, 'cillium1': 0.15, 'cillium2': 0}","{'cillium3': 0.0, 'cillium4': 0.0}","{'cillium3': 46.0, 'cillium4': 35.0}",230,126.2
2024/07/31 01:15:53,2024/07/31 01:15:53,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 1.32, 'cillium4': 0.4, 'cillium1': 9.18, 'cillium2': 1.4}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium4': 0, 'cillium1': 0.2, 'cillium2': 0}","{'cillium3': 13.05, 'cillium4': 12.01, 'cillium1': 9.26, 'cillium2': 2.97}","{'cillium3': 0.1, 'cillium4': 0, 'cillium1': 0.15, 'cillium2': 0}","{'cillium3': 0.0, 'cillium4': 0.0}","{'cillium3': 46.0, 'cillium4': 35.0}",230,126.2
2024/07/31 01:15:58,2024/07/31 01:15:58,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 1.08, 'cillium4': 0.43, 'cillium1': 10.88, 'cillium2': 1.09}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium4': 0, 'cillium1': 0.2, 'cillium2': 0}","{'cillium3': 13.05, 'cillium4': 12.01, 'cillium1': 9.26, 'cillium2': 2.97}","{'cillium3': 0.1, 'cillium4': 0, 'cillium1': 0.15, 'cillium2': 0}","{'cillium3': 0.0, 'cillium4': 0.0}","{'cillium3': 46.0, 'cillium4': 35.0}",230,126.2
2024/07/31 01:16:04,2024/07/31 01:16:04,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 0.94, 'cillium4': 1.21, 'cillium1': 9.47, 'cillium2': 1.06}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium4': 0, 'cillium1': 0.2, 'cillium2': 0}","{'cillium3': 13.05, 'cillium4': 12.01, 'cillium1': 9.26, 'cillium2': 2.97}","{'cillium3': 0.1, 'cillium4': 0, 'cillium1': 0.15, 'cillium2': 0}","{'cillium3': 0.0, 'cillium4': 0.0}","{'cillium3': 46.0, 'cillium4': 35.0}",230,126.2
