timestamp,timestamp,cluster_node_list,cpu_usage_percentage,node_status,cpu_reserve,mem_usage_percentage,mem_reserve,gpu_usage_percentage,gpu_temperature,Power,Energy
2024/08/01 01:04:53,2024/08/01 01:04:53,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 0.71, 'cillium1': 10.86, 'cillium2': 1.05, 'cillium4': 0.64}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium4': 0}","{'cillium3': 13.01, 'cillium1': 11.97, 'cillium2': 3.26, 'cillium4': 11.61}","{'cillium3': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium4': 0}","{'cillium3': 19.0, 'cillium4': 0.0}","{'cillium3': 49.0, 'cillium4': 35.0}",230,131.7
2024/08/01 01:04:59,2024/08/01 01:04:59,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 0.37, 'cillium1': 10.46, 'cillium2': 1.41, 'cillium4': 1.35}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium4': 0}","{'cillium3': 13.01, 'cillium1': 11.99, 'cillium2': 3.26, 'cillium4': 11.61}","{'cillium3': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium4': 0}","{'cillium3': 19.0, 'cillium4': 0.0}","{'cillium3': 49.0, 'cillium4': 35.0}",230,131.7
2024/08/01 01:05:04,2024/08/01 01:05:04,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 0.93, 'cillium1': 9.54, 'cillium2': 1.63, 'cillium4': 0.71}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium4': 0}","{'cillium3': 13.01, 'cillium1': 11.91, 'cillium2': 3.25, 'cillium4': 11.61}","{'cillium3': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium4': 0}","{'cillium3': 19.0, 'cillium4': 0.0}","{'cillium3': 49.0, 'cillium4': 35.0}",230,131.7
2024/08/01 01:05:10,2024/08/01 01:05:10,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 1.48, 'cillium1': 9.26, 'cillium2': 1.34, 'cillium4': 0.73}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium4': 0}","{'cillium3': 13.0, 'cillium1': 11.91, 'cillium2': 3.25, 'cillium4': 11.6}","{'cillium3': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium4': 0}","{'cillium3': 0.0, 'cillium4': 0.0}","{'cillium3': 51.0, 'cillium4': 35.0}",230,131.7
2024/08/01 01:05:15,2024/08/01 01:05:15,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 1.28, 'cillium1': 7.94, 'cillium2': 1.26, 'cillium4': 0.67}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium4': 0}","{'cillium3': 13.0, 'cillium1': 11.91, 'cillium2': 3.25, 'cillium4': 11.6}","{'cillium3': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium4': 0}","{'cillium3': 0.0, 'cillium4': 0.0}","{'cillium3': 51.0, 'cillium4': 35.0}",230,131.7
2024/08/01 01:05:20,2024/08/01 01:05:20,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 1.26, 'cillium1': 9.5, 'cillium2': 1.8, 'cillium4': 0.47}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium4': 0}","{'cillium3': 12.99, 'cillium1': 11.93, 'cillium2': 3.26, 'cillium4': 11.6}","{'cillium3': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium4': 0}","{'cillium3': 0.0, 'cillium4': 0.0}","{'cillium3': 51.0, 'cillium4': 35.0}",230,131.7
2024/08/01 01:05:26,2024/08/01 01:05:26,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 3.93, 'cillium1': 10.05, 'cillium2': 1.06, 'cillium4': 0.69}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium4': 0}","{'cillium3': 14.36, 'cillium1': 11.93, 'cillium2': 3.26, 'cillium4': 11.6}","{'cillium3': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium4': 0}","{'cillium3': 0.0, 'cillium4': 0.0}","{'cillium3': 51.0, 'cillium4': 35.0}",280,131.7
2024/08/01 01:05:31,2024/08/01 01:05:31,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 6.14, 'cillium1': 11.45, 'cillium2': 1.14, 'cillium4': 1.0}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium4': 0}","{'cillium3': 14.35, 'cillium1': 11.95, 'cillium2': 3.25, 'cillium4': 11.6}","{'cillium3': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium4': 0}","{'cillium3': 0.0, 'cillium4': 0.0}","{'cillium3': 51.0, 'cillium4': 35.0}",280,131.7
2024/08/01 01:05:37,2024/08/01 01:05:37,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 4.77, 'cillium1': 11.63, 'cillium2': 1.66, 'cillium4': 0.7}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium4': 0}","{'cillium3': 14.35, 'cillium1': 11.96, 'cillium2': 3.25, 'cillium4': 11.59}","{'cillium3': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium4': 0}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 35.0, 'cillium3': 50.0}",280,131.7
2024/08/01 01:05:42,2024/08/01 01:05:42,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium3': 4.68, 'cillium1': 10.11, 'cillium2': 1.49, 'cillium4': 0.8}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium3': 0.2, 'cillium1': 0.2, 'cillium2': 0, 'cillium4': 0}","{'cillium3': 14.35, 'cillium1': 11.5, 'cillium2': 3.25, 'cillium4': 11.59}","{'cillium3': 0.1, 'cillium1': 0.15, 'cillium2': 0, 'cillium4': 0}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 35.0, 'cillium3': 50.0}",280,131.7
