timestamp,timestamp,cluster_node_list,cpu_usage_percentage,node_status,cpu_reserve,mem_usage_percentage,mem_reserve,gpu_usage_percentage,gpu_temperature,Power,Energy
2024/08/02 04:45:51,2024/08/02 04:45:51,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium1': 12.06, 'cillium2': 1.36, 'cillium4': 0.54}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium1': 0.2, 'cillium2': 0, 'cillium4': 0.2, 'cillium3': 0.2}","{'cillium1': 15.2, 'cillium2': 3.61, 'cillium4': 10.96}","{'cillium1': 0.15, 'cillium2': 0, 'cillium4': 0.1, 'cillium3': 0.1}",{},{},210,140.8
2024/08/02 04:45:57,2024/08/02 04:45:57,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium1': 12.7, 'cillium2': 1.5, 'cillium4': 0.62}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium1': 0.2, 'cillium2': 0, 'cillium4': 0.2, 'cillium3': 0.2}","{'cillium1': 15.21, 'cillium2': 3.61, 'cillium4': 10.96}","{'cillium1': 0.15, 'cillium2': 0, 'cillium4': 0.1, 'cillium3': 0.1}",{},{},190,140.8
2024/08/02 04:46:02,2024/08/02 04:46:02,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium1': 9.06, 'cillium2': 1.86, 'cillium4': 0.53}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium1': 0.2, 'cillium2': 0, 'cillium4': 0.2, 'cillium3': 0.2}","{'cillium1': 15.21, 'cillium2': 3.61, 'cillium4': 10.96}","{'cillium1': 0.15, 'cillium2': 0, 'cillium4': 0.1, 'cillium3': 0.1}",{},{},190,140.8
2024/08/02 04:46:08,2024/08/02 04:46:08,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium1': 9.14, 'cillium2': 1.69, 'cillium4': 0.85}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium1': 0.2, 'cillium2': 0, 'cillium4': 0.2, 'cillium3': 0.2}","{'cillium1': 15.21, 'cillium2': 3.61, 'cillium4': 10.96}","{'cillium1': 0.15, 'cillium2': 0, 'cillium4': 0.1, 'cillium3': 0.1}",{},{},190,140.8
2024/08/02 04:46:13,2024/08/02 04:46:13,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium1': 9.01, 'cillium2': 0.9, 'cillium4': 0.54}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium1': 0.2, 'cillium2': 0, 'cillium4': 0.2, 'cillium3': 0.2}","{'cillium1': 15.21, 'cillium2': 3.61, 'cillium4': 10.96}","{'cillium1': 0.15, 'cillium2': 0, 'cillium4': 0.1, 'cillium3': 0.1}",{},{},190,140.8
2024/08/02 04:46:19,2024/08/02 04:46:19,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium1': 8.68, 'cillium2': 1.29, 'cillium4': 0.24}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium1': 0.2, 'cillium2': 0, 'cillium4': 0.2, 'cillium3': 0.2}","{'cillium1': 15.21, 'cillium2': 3.61, 'cillium4': 10.96}","{'cillium1': 0.15, 'cillium2': 0, 'cillium4': 0.1, 'cillium3': 0.1}",{},{},190,140.8
2024/08/02 04:46:24,2024/08/02 04:46:24,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium1': 8.49, 'cillium2': 1.29, 'cillium4': 1.25}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium1': 0.2, 'cillium2': 0, 'cillium4': 0.2, 'cillium3': 0.2}","{'cillium1': 15.21, 'cillium2': 3.62, 'cillium4': 10.96}","{'cillium1': 0.15, 'cillium2': 0, 'cillium4': 0.1, 'cillium3': 0.1}",{},{},200,140.8
2024/08/02 04:46:30,2024/08/02 04:46:30,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium1': 9.27, 'cillium2': 1.1, 'cillium4': 0.68}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium1': 0.2, 'cillium2': 0, 'cillium4': 0.2, 'cillium3': 0.2}","{'cillium1': 15.21, 'cillium2': 3.62, 'cillium4': 10.96}","{'cillium1': 0.15, 'cillium2': 0, 'cillium4': 0.1, 'cillium3': 0.1}",{},{},190,140.8
2024/08/02 04:46:35,2024/08/02 04:46:35,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium1': 8.04, 'cillium2': 1.9, 'cillium4': 0.78}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium1': 0.2, 'cillium2': 0, 'cillium4': 0.2, 'cillium3': 0.2}","{'cillium1': 15.21, 'cillium2': 3.61, 'cillium4': 10.96}","{'cillium1': 0.15, 'cillium2': 0, 'cillium4': 0.1, 'cillium3': 0.1}",{},{},190,140.8
2024/08/02 04:46:40,2024/08/02 04:46:40,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium1': 8.99, 'cillium2': 1.12, 'cillium4': 0.81}","{'cillium2': True, 'cillium3': False, 'cillium4': True, 'cillium1': True}","{'cillium1': 0.2, 'cillium2': 0, 'cillium4': 0.2, 'cillium3': 0.2}","{'cillium1': 15.22, 'cillium2': 3.62, 'cillium4': 10.96}","{'cillium1': 0.15, 'cillium2': 0, 'cillium4': 0.1, 'cillium3': 0.1}",{},{},210,140.8
