timestamp,timestamp,cluster_node_list,cpu_usage_percentage,node_status,cpu_reserve,mem_usage_percentage,mem_reserve,gpu_usage_percentage,gpu_temperature,Power,Energy
2024/08/05 11:14:50,2024/08/05 11:14:50,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 22.55, 'cillium2': 1.45, 'cillium4': 0.63}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium4': 0}","{'cillium1': 14.13, 'cillium2': 3.5, 'cillium4': 15.06}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium4': 0}",{'cillium4': 0.0},{'cillium4': 31.0},170,163.6
2024/08/05 11:14:55,2024/08/05 11:14:55,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 18.17, 'cillium2': 2.25, 'cillium4': 1.25}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium4': 0}","{'cillium1': 14.13, 'cillium2': 3.51, 'cillium4': 15.18}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium4': 0}",{'cillium4': 0.0},{'cillium4': 31.0},190,163.6
2024/08/05 11:15:01,2024/08/05 11:15:01,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 9.65, 'cillium2': 1.75, 'cillium4': 5.24}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium4': 0}","{'cillium1': 14.14, 'cillium2': 3.51, 'cillium4': 15.62}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium4': 0}",{'cillium4': 0.0},{'cillium4': 31.0},240,163.7
2024/08/05 11:15:06,2024/08/05 11:15:06,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 9.36, 'cillium2': 2.16, 'cillium4': 4.42}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium4': 0}","{'cillium1': 14.14, 'cillium2': 3.51, 'cillium4': 16.89}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium4': 0}",{'cillium4': 0.0},{'cillium4': 31.0},240,163.7
2024/08/05 11:15:12,2024/08/05 11:15:12,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 8.91, 'cillium2': 2.05, 'cillium4': 4.31}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium4': 0}","{'cillium1': 14.14, 'cillium2': 3.51, 'cillium4': 16.89}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium4': 0}",{'cillium4': 65.0},{'cillium4': 39.0},240,163.7
2024/08/05 11:15:17,2024/08/05 11:15:17,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 9.43, 'cillium2': 1.42, 'cillium4': 4.09}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium4': 0}","{'cillium1': 13.24, 'cillium2': 3.51, 'cillium4': 16.89}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium4': 0}",{'cillium4': 65.0},{'cillium4': 39.0},240,163.7
2024/08/05 11:15:23,2024/08/05 11:15:23,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 11.29, 'cillium2': 1.9, 'cillium4': 4.27}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium4': 0}","{'cillium1': 13.2, 'cillium2': 3.51, 'cillium4': 16.89}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium4': 0}",{'cillium4': 65.0},{'cillium4': 39.0},240,163.7
2024/08/05 11:15:28,2024/08/05 11:15:28,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 10.29, 'cillium2': 1.68, 'cillium4': 4.45}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium4': 0}","{'cillium1': 13.19, 'cillium2': 3.51, 'cillium4': 16.89}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium4': 0}",{'cillium4': 65.0},{'cillium4': 39.0},240,163.7
2024/08/05 11:15:34,2024/08/05 11:15:34,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 9.35, 'cillium2': 1.5, 'cillium4': 4.47}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium4': 0}","{'cillium1': 13.2, 'cillium2': 3.51, 'cillium4': 16.88}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium4': 0}",{'cillium4': 65.0},{'cillium4': 39.0},240,163.7
2024/08/05 11:15:39,2024/08/05 11:15:39,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 12.05, 'cillium2': 2.08, 'cillium4': 4.52}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': False}","{'cillium1': 0.2, 'cillium2': 0.2, 'cillium4': 0}","{'cillium1': 13.18, 'cillium2': 3.51, 'cillium4': 16.89}","{'cillium1': 0.15, 'cillium2': 0.1, 'cillium4': 0}",{'cillium4': 66.0},{'cillium4': 51.0},240,163.7
