timestamp,timestamp,cluster_node_list,cpu_usage_percentage,node_status,cpu_reserve,mem_usage_percentage,mem_reserve,gpu_usage_percentage,gpu_temperature,Power,Energy
2024/08/10 05:39:08,2024/08/10 05:39:08,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 9.61, 'cillium2': 1.47}","{'cillium1': True, 'cillium2': True, 'cillium3': False, 'cillium4': False}","{'cillium1': 0.4, 'cillium2': 1.0}","{'cillium1': 13.0, 'cillium2': 4.0}","{'cillium1': 0.25, 'cillium2': 0.07}",{},{},90,191.3
2024/08/10 05:39:13,2024/08/10 05:39:13,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 9.86, 'cillium2': 1.46}","{'cillium1': True, 'cillium2': True, 'cillium3': False, 'cillium4': False}","{'cillium1': 0.4, 'cillium2': 1.0}","{'cillium1': 13.0, 'cillium2': 4.0}","{'cillium1': 0.25, 'cillium2': 0.07}",{},{},90,191.3
2024/08/10 05:39:19,2024/08/10 05:39:19,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 9.7, 'cillium2': 1.66}","{'cillium1': True, 'cillium2': True, 'cillium3': False, 'cillium4': False}","{'cillium1': 0.4, 'cillium2': 1.0}","{'cillium1': 13.0, 'cillium2': 4.0}","{'cillium1': 0.25, 'cillium2': 0.07}",{},{},110,191.3
2024/08/10 05:39:24,2024/08/10 05:39:24,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 9.52, 'cillium2': 1.56}","{'cillium1': True, 'cillium2': True, 'cillium3': False, 'cillium4': False}","{'cillium1': 0.4, 'cillium2': 1.0}","{'cillium1': 13.0, 'cillium2': 4.0}","{'cillium1': 0.25, 'cillium2': 0.07}",{},{},90,191.3
2024/08/10 05:39:30,2024/08/10 05:39:30,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 8.48, 'cillium2': 1.21}","{'cillium1': True, 'cillium2': True, 'cillium3': False, 'cillium4': False}","{'cillium1': 0.4, 'cillium2': 1.0}","{'cillium1': 13.0, 'cillium2': 4.0}","{'cillium1': 0.25, 'cillium2': 0.07}",{},{},90,191.3
2024/08/10 05:39:35,2024/08/10 05:39:35,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 12.19, 'cillium2': 0.9}","{'cillium1': True, 'cillium2': True, 'cillium3': False, 'cillium4': False}","{'cillium1': 0.4, 'cillium2': 1.0}","{'cillium1': 13.0, 'cillium2': 4.0}","{'cillium1': 0.25, 'cillium2': 0.07}",{},{},90,191.3
2024/08/10 05:39:40,2024/08/10 05:39:40,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 11.86, 'cillium2': 1.54}","{'cillium1': True, 'cillium2': True, 'cillium3': False, 'cillium4': False}","{'cillium1': 0.4, 'cillium2': 1.0}","{'cillium1': 13.0, 'cillium2': 4.0}","{'cillium1': 0.25, 'cillium2': 0.07}",{},{},90,191.3
2024/08/10 05:39:46,2024/08/10 05:39:46,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 9.41, 'cillium2': 1.64}","{'cillium1': True, 'cillium2': True, 'cillium3': False, 'cillium4': False}","{'cillium1': 0.4, 'cillium2': 1.0}","{'cillium1': 13.0, 'cillium2': 4.01}","{'cillium1': 0.25, 'cillium2': 0.07}",{},{},110,191.3
2024/08/10 05:39:51,2024/08/10 05:39:51,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 9.96, 'cillium2': 1.2}","{'cillium1': True, 'cillium2': True, 'cillium3': False, 'cillium4': False}","{'cillium1': 0.4, 'cillium2': 1.0}","{'cillium1': 13.0, 'cillium2': 4.01}","{'cillium1': 0.25, 'cillium2': 0.07}",{},{},110,191.3
2024/08/10 05:39:57,2024/08/10 05:39:57,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 10.1, 'cillium2': 1.11}","{'cillium1': True, 'cillium2': True, 'cillium3': False, 'cillium4': False}","{'cillium1': 0.4, 'cillium2': 1.0}","{'cillium1': 13.0, 'cillium2': 4.01}","{'cillium1': 0.25, 'cillium2': 0.07}",{},{},90,191.3
