timestamp,timestamp,cluster_node_list,cpu_usage_percentage,node_status,cpu_reserve,mem_usage_percentage,mem_reserve,gpu_usage_percentage,gpu_temperature,Power,Energy
2024/08/10 11:16:17,2024/08/10 11:16:17,"['cillium1', 'cillium2', 'cillium4', 'cillium3']","{'cillium1': 10.44, 'cillium2': 1.65, 'cillium3': 1.05, 'cillium4': 1.81}","{'cillium1': True, 'cillium2': True, 'cillium4': True, 'cillium3': True}","{'cillium1': 0.4, 'cillium2': 1.0, 'cillium3': 1.0, 'cillium4': 1.0}","{'cillium1': 14.11, 'cillium2': 4.04, 'cillium3': 12.55, 'cillium4': 15.78}","{'cillium1': 0.25, 'cillium2': 0.07, 'cillium3': 0.07, 'cillium4': 0.07}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 31.0, 'cillium3': 57.0}",230,192.6
2024/08/10 11:16:23,2024/08/10 11:16:23,"['cillium1', 'cillium2', 'cillium4', 'cillium3']","{'cillium1': 10.97, 'cillium2': 1.81, 'cillium3': 0.99, 'cillium4': 1.03}","{'cillium1': True, 'cillium2': True, 'cillium4': True, 'cillium3': True}","{'cillium1': 0.4, 'cillium2': 1.0, 'cillium3': 2.0, 'cillium4': 1.0}","{'cillium1': 14.07, 'cillium2': 4.05, 'cillium3': 12.61, 'cillium4': 15.77}","{'cillium1': 0.25, 'cillium2': 0.07, 'cillium3': 0.07, 'cillium4': 0.07}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 31.0, 'cillium3': 54.0}",230,192.6
2024/08/10 11:16:28,2024/08/10 11:16:28,"['cillium1', 'cillium2', 'cillium4', 'cillium3']","{'cillium1': 11.0, 'cillium2': 1.29, 'cillium3': 2.26, 'cillium4': 0.55}","{'cillium1': True, 'cillium2': True, 'cillium4': True, 'cillium3': True}","{'cillium1': 0.4, 'cillium2': 1.0, 'cillium3': 2.0, 'cillium4': 1.0}","{'cillium1': 14.07, 'cillium2': 4.05, 'cillium3': 13.03, 'cillium4': 15.78}","{'cillium1': 0.25, 'cillium2': 0.07, 'cillium3': 0.07, 'cillium4': 0.07}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 31.0, 'cillium3': 54.0}",310,192.6
2024/08/10 11:16:34,2024/08/10 11:16:34,"['cillium1', 'cillium2', 'cillium4', 'cillium3']","{'cillium1': 10.26, 'cillium2': 1.35, 'cillium3': 3.4, 'cillium4': 0.74}","{'cillium1': True, 'cillium2': True, 'cillium4': True, 'cillium3': True}","{'cillium1': 0.4, 'cillium2': 1.0, 'cillium3': 2.0, 'cillium4': 1.0}","{'cillium1': 14.07, 'cillium2': 4.05, 'cillium3': 13.9, 'cillium4': 15.78}","{'cillium1': 0.25, 'cillium2': 0.07, 'cillium3': 0.07, 'cillium4': 0.07}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 31.0, 'cillium3': 54.0}",310,192.6
2024/08/10 11:16:39,2024/08/10 11:16:39,"['cillium1', 'cillium2', 'cillium4', 'cillium3']","{'cillium1': 10.74, 'cillium2': 1.79, 'cillium3': 4.02, 'cillium4': 1.18}","{'cillium1': True, 'cillium2': True, 'cillium4': True, 'cillium3': True}","{'cillium1': 0.4, 'cillium2': 1.0, 'cillium3': 2.0, 'cillium4': 1.0}","{'cillium1': 14.09, 'cillium2': 4.05, 'cillium3': 13.9, 'cillium4': 15.78}","{'cillium1': 0.25, 'cillium2': 0.07, 'cillium3': 0.07, 'cillium4': 0.07}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 31.0, 'cillium3': 54.0}",310,192.6
2024/08/10 11:16:45,2024/08/10 11:16:45,"['cillium1', 'cillium2', 'cillium4', 'cillium3']","{'cillium1': 11.69, 'cillium2': 1.46, 'cillium3': 4.16, 'cillium4': 0.42}","{'cillium1': True, 'cillium2': True, 'cillium4': True, 'cillium3': True}","{'cillium1': 0.4, 'cillium2': 1.0, 'cillium3': 2.0, 'cillium4': 1.0}","{'cillium1': 14.08, 'cillium2': 4.05, 'cillium3': 13.9, 'cillium4': 15.78}","{'cillium1': 0.25, 'cillium2': 0.07, 'cillium3': 0.07, 'cillium4': 0.07}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 31.0, 'cillium3': 54.0}",310,192.6
2024/08/10 11:16:50,2024/08/10 11:16:50,"['cillium1', 'cillium2', 'cillium4', 'cillium3']","{'cillium1': 10.81, 'cillium2': 1.24, 'cillium3': 4.7, 'cillium4': 0.53}","{'cillium1': True, 'cillium2': True, 'cillium4': True, 'cillium3': True}","{'cillium1': 0.4, 'cillium2': 1.0, 'cillium3': 2.0, 'cillium4': 1.0}","{'cillium1': 14.07, 'cillium2': 4.05, 'cillium3': 13.89, 'cillium4': 15.78}","{'cillium1': 0.25, 'cillium2': 0.07, 'cillium3': 0.07, 'cillium4': 0.07}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 31.0, 'cillium3': 54.0}",310,192.6
2024/08/10 11:16:56,2024/08/10 11:16:56,"['cillium1', 'cillium2', 'cillium4', 'cillium3']","{'cillium1': 10.41, 'cillium2': 1.31, 'cillium3': 3.71, 'cillium4': 0.88}","{'cillium1': True, 'cillium2': True, 'cillium4': True, 'cillium3': True}","{'cillium1': 0.4, 'cillium2': 1.0, 'cillium3': 2.0, 'cillium4': 1.0}","{'cillium1': 14.07, 'cillium2': 4.05, 'cillium3': 13.89, 'cillium4': 15.78}","{'cillium1': 0.25, 'cillium2': 0.07, 'cillium3': 0.07, 'cillium4': 0.07}","{'cillium4': 0.0, 'cillium3': 55.0}","{'cillium4': 31.0, 'cillium3': 65.0}",310,192.6
2024/08/10 11:17:01,2024/08/10 11:17:01,"['cillium1', 'cillium2', 'cillium4', 'cillium3']","{'cillium1': 9.79, 'cillium2': 1.48, 'cillium3': 4.04, 'cillium4': 1.08}","{'cillium1': True, 'cillium2': True, 'cillium4': True, 'cillium3': True}","{'cillium1': 0.4, 'cillium2': 1.0, 'cillium3': 2.0, 'cillium4': 1.0}","{'cillium1': 14.08, 'cillium2': 4.05, 'cillium3': 13.89, 'cillium4': 15.78}","{'cillium1': 0.25, 'cillium2': 0.07, 'cillium3': 0.07, 'cillium4': 0.07}","{'cillium4': 0.0, 'cillium3': 55.0}","{'cillium4': 31.0, 'cillium3': 65.0}",330,192.6
2024/08/10 11:17:07,2024/08/10 11:17:07,"['cillium1', 'cillium2', 'cillium4', 'cillium3']","{'cillium1': 10.81, 'cillium2': 1.51, 'cillium3': 4.47, 'cillium4': 0.88}","{'cillium1': True, 'cillium2': True, 'cillium4': True, 'cillium3': True}","{'cillium1': 0.4, 'cillium2': 1.0, 'cillium3': 2.0, 'cillium4': 1.0}","{'cillium1': 14.07, 'cillium2': 4.05, 'cillium3': 13.89, 'cillium4': 15.78}","{'cillium1': 0.25, 'cillium2': 0.07, 'cillium3': 0.07, 'cillium4': 0.07}","{'cillium4': 0.0, 'cillium3': 55.0}","{'cillium4': 31.0, 'cillium3': 65.0}",330,192.6
2024/08/10 11:17:12,2024/08/10 11:17:12,"['cillium1', 'cillium2', 'cillium4', 'cillium3']","{'cillium1': 13.26, 'cillium2': 1.59, 'cillium3': 4.08, 'cillium4': 0.86}","{'cillium1': True, 'cillium2': True, 'cillium4': True, 'cillium3': True}","{'cillium1': 0.4, 'cillium2': 1.0, 'cillium3': 2.0, 'cillium4': 1.0}","{'cillium1': 14.1, 'cillium2': 4.05, 'cillium3': 13.89, 'cillium4': 15.77}","{'cillium1': 0.25, 'cillium2': 0.07, 'cillium3': 0.07, 'cillium4': 0.07}","{'cillium4': 0.0, 'cillium3': 55.0}","{'cillium4': 31.0, 'cillium3': 65.0}",310,192.6
