timestamp,timestamp,cluster_node_list,cpu_usage_percentage,node_status,cpu_reserve,mem_usage_percentage,mem_reserve,gpu_usage_percentage,gpu_temperature,Power,Energy
2024/08/11 16:22:08,2024/08/11 16:22:08,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 9.93, 'cillium2': 2.41, 'cillium3': 0.78, 'cillium4': 0.77}","{'cillium1': True, 'cillium2': True, 'cillium3': True, 'cillium4': True}","{'cillium1': 0.4, 'cillium2': 1.0, 'cillium3': 1.0, 'cillium4': 1.0}","{'cillium1': 15.46, 'cillium2': 4.13, 'cillium3': 12.42, 'cillium4': 11.54}","{'cillium1': 0.25, 'cillium2': 0.07, 'cillium3': 0.07, 'cillium4': 0.07}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 31.0, 'cillium3': 38.0}",230,201.5
2024/08/11 16:22:13,2024/08/11 16:22:13,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 10.46, 'cillium2': 1.85, 'cillium3': 0.88, 'cillium4': 1.27}","{'cillium1': True, 'cillium2': True, 'cillium3': True, 'cillium4': True}","{'cillium1': 0.4, 'cillium2': 1.0, 'cillium3': 1.0, 'cillium4': 1.0}","{'cillium1': 15.5, 'cillium2': 4.13, 'cillium3': 12.42, 'cillium4': 11.54}","{'cillium1': 0.25, 'cillium2': 0.07, 'cillium3': 0.07, 'cillium4': 0.07}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 31.0, 'cillium3': 38.0}",230,201.5
2024/08/11 16:22:19,2024/08/11 16:22:19,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 9.95, 'cillium2': 1.03, 'cillium3': 1.22, 'cillium4': 0.91}","{'cillium1': True, 'cillium2': True, 'cillium3': True, 'cillium4': True}","{'cillium1': 0.4, 'cillium2': 1.0, 'cillium3': 1.0, 'cillium4': 1.0}","{'cillium1': 15.52, 'cillium2': 4.13, 'cillium3': 12.41, 'cillium4': 11.54}","{'cillium1': 0.25, 'cillium2': 0.07, 'cillium3': 0.07, 'cillium4': 0.07}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 31.0, 'cillium3': 38.0}",230,201.5
2024/08/11 16:22:24,2024/08/11 16:22:24,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 12.97, 'cillium2': 1.06, 'cillium3': 1.09, 'cillium4': 0.67}","{'cillium1': True, 'cillium2': True, 'cillium3': True, 'cillium4': True}","{'cillium1': 0.4, 'cillium2': 1.0, 'cillium3': 1.0, 'cillium4': 1.0}","{'cillium1': 15.47, 'cillium2': 4.13, 'cillium3': 12.41, 'cillium4': 11.54}","{'cillium1': 0.25, 'cillium2': 0.07, 'cillium3': 0.07, 'cillium4': 0.07}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 31.0, 'cillium3': 39.0}",230,201.5
2024/08/11 16:22:30,2024/08/11 16:22:30,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 9.24, 'cillium2': 1.54, 'cillium3': 0.99, 'cillium4': 0.6}","{'cillium1': True, 'cillium2': True, 'cillium3': True, 'cillium4': True}","{'cillium1': 0.4, 'cillium2': 1.0, 'cillium3': 1.0, 'cillium4': 1.0}","{'cillium1': 15.47, 'cillium2': 4.13, 'cillium3': 12.41, 'cillium4': 11.54}","{'cillium1': 0.25, 'cillium2': 0.07, 'cillium3': 0.07, 'cillium4': 0.07}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 31.0, 'cillium3': 39.0}",230,201.5
2024/08/11 16:22:35,2024/08/11 16:22:35,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 10.84, 'cillium2': 1.36, 'cillium3': 0.08, 'cillium4': 0.53}","{'cillium1': True, 'cillium2': True, 'cillium3': True, 'cillium4': True}","{'cillium1': 0.4, 'cillium2': 1.0, 'cillium3': 1.0, 'cillium4': 1.0}","{'cillium1': 15.47, 'cillium2': 4.13, 'cillium3': 12.41, 'cillium4': 11.54}","{'cillium1': 0.25, 'cillium2': 0.07, 'cillium3': 0.07, 'cillium4': 0.07}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 31.0, 'cillium3': 39.0}",230,201.5
2024/08/11 16:22:41,2024/08/11 16:22:41,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 11.18, 'cillium2': 1.55, 'cillium3': 0.82, 'cillium4': 1.32}","{'cillium1': True, 'cillium2': True, 'cillium3': True, 'cillium4': True}","{'cillium1': 0.4, 'cillium2': 1.0, 'cillium3': 1.0, 'cillium4': 1.0}","{'cillium1': 15.47, 'cillium2': 4.13, 'cillium3': 12.41, 'cillium4': 11.54}","{'cillium1': 0.25, 'cillium2': 0.07, 'cillium3': 0.07, 'cillium4': 0.07}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 31.0, 'cillium3': 39.0}",230,201.5
2024/08/11 16:22:46,2024/08/11 16:22:46,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 13.84, 'cillium2': 4.98, 'cillium3': 8.4, 'cillium4': 10.67}","{'cillium1': True, 'cillium2': True, 'cillium3': True, 'cillium4': True}","{'cillium1': 0.4, 'cillium2': 1.0, 'cillium3': 1.0, 'cillium4': 1.0}","{'cillium1': 15.39, 'cillium2': 4.33, 'cillium3': 13.05, 'cillium4': 12.45}","{'cillium1': 0.25, 'cillium2': 0.07, 'cillium3': 0.07, 'cillium4': 0.07}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 31.0, 'cillium3': 39.0}",350,201.5
2024/08/11 16:22:52,2024/08/11 16:22:52,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 17.0, 'cillium2': 12.19, 'cillium3': 24.07, 'cillium4': 26.5}","{'cillium1': True, 'cillium2': True, 'cillium3': True, 'cillium4': True}","{'cillium1': 0.4, 'cillium2': 2.0, 'cillium3': 10.5, 'cillium4': 10.5}","{'cillium1': 15.64, 'cillium2': 4.41, 'cillium3': 13.92, 'cillium4': 13.02}","{'cillium1': 0.25, 'cillium2': 0.28, 'cillium3': 2.06, 'cillium4': 2.06}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 31.0, 'cillium3': 39.0}",300,201.5
2024/08/11 16:22:57,2024/08/11 16:22:57,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 12.6, 'cillium2': 14.3, 'cillium3': 31.44, 'cillium4': 31.29}","{'cillium1': True, 'cillium2': True, 'cillium3': True, 'cillium4': True}","{'cillium1': 0.4, 'cillium2': 2.0, 'cillium3': 10.5, 'cillium4': 10.5}","{'cillium1': 15.66, 'cillium2': 4.41, 'cillium3': 14.1, 'cillium4': 13.21}","{'cillium1': 0.25, 'cillium2': 0.28, 'cillium3': 2.06, 'cillium4': 2.06}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 31.0, 'cillium3': 39.0}",300,201.5
2024/08/11 16:23:03,2024/08/11 16:23:03,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 11.4, 'cillium2': 13.26, 'cillium3': 30.33, 'cillium4': 30.56}","{'cillium1': True, 'cillium2': True, 'cillium3': True, 'cillium4': True}","{'cillium1': 0.4, 'cillium2': 2.0, 'cillium3': 10.5, 'cillium4': 10.5}","{'cillium1': 15.62, 'cillium2': 4.41, 'cillium3': 13.89, 'cillium4': 12.99}","{'cillium1': 0.25, 'cillium2': 0.28, 'cillium3': 2.06, 'cillium4': 2.06}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 31.0, 'cillium3': 39.0}",300,201.5
2024/08/11 16:23:08,2024/08/11 16:23:08,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 13.01, 'cillium2': 13.15, 'cillium3': 30.39, 'cillium4': 30.39}","{'cillium1': True, 'cillium2': True, 'cillium3': True, 'cillium4': True}","{'cillium1': 0.4, 'cillium2': 2.0, 'cillium3': 10.5, 'cillium4': 10.5}","{'cillium1': 15.62, 'cillium2': 4.41, 'cillium3': 13.91, 'cillium4': 13.02}","{'cillium1': 0.25, 'cillium2': 0.28, 'cillium3': 2.06, 'cillium4': 2.06}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 31.0, 'cillium3': 39.0}",300,201.5
2024/08/11 16:23:14,2024/08/11 16:23:14,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 11.31, 'cillium2': 13.4, 'cillium3': 30.4, 'cillium4': 30.48}","{'cillium1': True, 'cillium2': True, 'cillium3': True, 'cillium4': True}","{'cillium1': 0.4, 'cillium2': 2.0, 'cillium3': 10.5, 'cillium4': 10.5}","{'cillium1': 15.63, 'cillium2': 4.4, 'cillium3': 14.0, 'cillium4': 13.09}","{'cillium1': 0.25, 'cillium2': 0.28, 'cillium3': 2.06, 'cillium4': 2.06}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 31.0, 'cillium3': 39.0}",300,201.5
2024/08/11 16:23:19,2024/08/11 16:23:19,"['cillium1', 'cillium2', 'cillium3', 'cillium4']","{'cillium1': 12.85, 'cillium2': 13.59, 'cillium3': 30.56, 'cillium4': 30.66}","{'cillium1': True, 'cillium2': True, 'cillium3': True, 'cillium4': True}","{'cillium1': 0.4, 'cillium2': 2.0, 'cillium3': 10.5, 'cillium4': 10.5}","{'cillium1': 15.73, 'cillium2': 4.4, 'cillium3': 14.0, 'cillium4': 13.1}","{'cillium1': 0.25, 'cillium2': 0.28, 'cillium3': 2.06, 'cillium4': 2.06}","{'cillium4': 0.0, 'cillium3': 0.0}","{'cillium4': 31.0, 'cillium3': 39.0}",300,201.5
