State,Action,Reward,Next State,Predicted Energy,completed_batch_job,long_runnning_job
"[0, 20.59, 2.02, -1, -1, 12.61, 3.9, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",0,-6.779538272857664,"[0, 10.943249999999997, 1.935083333333334, -1, -1, 12.829583333333325, 3.887416666666669, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",67.79538272857664,0,0
"[0, 10.943249999999997, 1.935083333333334, -1, -1, 12.829583333333325, 3.887416666666669, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",0,-6.932750797271728,"[0, 9.743583333333332, 1.9334166666666663, -1, -1, 13.052250000000033, 3.8967500000000044, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",69.32750797271729,0,0
"[0, 9.743583333333332, 1.9334166666666663, -1, -1, 13.052250000000033, 3.8967500000000044, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",1,-8.540786838531494,"[2, 10.039833333333336, 2.0383333333333336, 0.74825, -1, 13.476666666666665, 3.8985000000000003, 7.081083333333334, -1, 0.0, -1, 19.733333333333334, -1, 0, 0, 0, 0]",85.40786838531494,0,0
"[2, 10.039833333333336, 2.0383333333333336, 0.74825, -1, 13.476666666666665, 3.8985000000000003, 7.081083333333334, -1, 0.0, -1, 19.733333333333334, -1, 0, 0, 0, 0]",2,-7.161485588073731,"[0, 9.601333333333328, 1.99325, -1, -1, 13.24716666666667, 3.906416666666673, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",71.61485588073731,0,0
"[0, 9.601333333333328, 1.99325, -1, -1, 13.24716666666667, 3.906416666666673, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",3,-8.987057220458981,"[1, 9.959416666666668, 2.053916666666667, -1, 0.8722499999999999, 13.456083333333334, 3.9190833333333335, -1, 6.9573333333333345, -1, 0.0, -1, 16.758333333333333, 0, 0, 0, 0]",89.8705722045898,0,0
"[1, 9.959416666666668, 2.053916666666667, -1, 0.8722499999999999, 13.456083333333334, 3.9190833333333335, -1, 6.9573333333333345, -1, 0.0, -1, 16.758333333333333, 0, 0, 0, 0]",0,-10.431309936523437,"[1, 9.658750000000005, 1.9935833333333333, -1, 0.8139166666666668, 13.382166666666672, 3.902166666666666, -1, 11.481583333333342, -1, 0.0, -1, 30.616666666666667, 0, 0, 0, 0]",104.31309936523438,0,0
"[1, 9.658750000000005, 1.9935833333333333, -1, 0.8139166666666668, 13.382166666666672, 3.902166666666666, -1, 11.481583333333342, -1, 0.0, -1, 30.616666666666667, 0, 0, 0, 0]",0,-10.493278602600093,"[1, 9.712166666666667, 1.9902499999999994, -1, 0.8345833333333333, 13.34641666666664, 3.90533333333334, -1, 11.518166666666652, -1, 0.0, -1, 30.0, 0, 0, 0, 0]",104.93278602600093,0,0
"[1, 9.712166666666667, 1.9902499999999994, -1, 0.8345833333333333, 13.34641666666664, 3.90533333333334, -1, 11.518166666666652, -1, 0.0, -1, 30.0, 0, 0, 0, 0]",4,-7.278134731292726,"[0, 9.573, 1.9986666666666666, -1, -1, 13.352416666666667, 3.9098333333333337, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",72.78134731292725,0,0
"[0, 9.573, 1.9986666666666666, -1, -1, 13.352416666666667, 3.9098333333333337, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",0,-7.371779262542724,"[0, 16.26941666666666, 1.9589166666666658, -1, -1, 13.636499999999991, 3.8981666666666595, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",73.71779262542724,0,0
"[0, 16.26941666666666, 1.9589166666666658, -1, -1, 13.636499999999991, 3.8981666666666595, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",3,-9.375679691314698,"[1, 14.8945, 2.04225, -1, 0.8195833333333333, 14.021166666666666, 3.892416666666666, -1, 6.948166666666666, -1, 0.0, -1, 16.358333333333334, 0, 0, 0, 0]",93.75679691314697,0,0
"[1, 14.8945, 2.04225, -1, 0.8195833333333333, 14.021166666666666, 3.892416666666666, -1, 6.948166666666666, -1, 0.0, -1, 16.358333333333334, 0, 0, 0, 0]",0,-10.524397972106932,"[1, 9.668083333333328, 1.9915833333333333, -1, 0.8347499999999999, 13.14199999999999, 3.886749999999991, -1, 11.487750000000004, -1, 0.0, -1, 30.041666666666668, 0, 0, 0, 0]",105.24397972106932,0,0
"[1, 9.668083333333328, 1.9915833333333333, -1, 0.8347499999999999, 13.14199999999999, 3.886749999999991, -1, 11.487750000000004, -1, 0.0, -1, 30.041666666666668, 0, 0, 0, 0]",0,-10.386388084411614,"[1, 9.648, 2.090583333333334, -1, 0.8217499999999999, 13.049416666666637, 3.908166666666664, -1, 11.518749999999985, -1, 0.0, -1, 31.0, 0, 0, 0, 0]",103.86388084411614,0,0
"[1, 9.648, 2.090583333333334, -1, 0.8217499999999999, 13.049416666666637, 3.908166666666664, -1, 11.518749999999985, -1, 0.0, -1, 31.0, 0, 0, 0, 0]",4,-6.988829486846926,"[0, 9.519583333333335, 2.045083333333333, -1, -1, 13.035083333333326, 3.9028333333333305, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",69.88829486846926,0,0
"[0, 9.519583333333335, 2.045083333333333, -1, -1, 13.035083333333326, 3.9028333333333305, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",1,-8.280259223937986,"[2, 9.95625, 2.0475833333333333, 0.8137500000000001, -1, 13.257583333333333, 3.9066666666666663, 7.07125, -1, 0.0, -1, 19.616666666666667, -1, 0, 0, 0, 0]",82.80259223937985,0,0
"[2, 9.95625, 2.0475833333333333, 0.8137500000000001, -1, 13.257583333333333, 3.9066666666666663, 7.07125, -1, 0.0, -1, 19.616666666666667, -1, 0, 0, 0, 0]",3,-11.854428184509281,"[3, 10.183833333333332, 2.0334166666666667, 0.8435833333333334, 0.87425, 13.403583333333335, 3.9081666666666663, 12.360416666666667, 6.951833333333335, 0.0, 0.0, 39.0, 16.708333333333332, 0, 0, 0, 0]",118.54428184509281,0,0
"[3, 10.183833333333332, 2.0334166666666667, 0.8435833333333334, 0.87425, 13.403583333333335, 3.9081666666666663, 12.360416666666667, 6.951833333333335, 0.0, 0.0, 39.0, 16.708333333333332, 0, 0, 0, 0]",4,-9.536542625427247,"[2, 9.934083333333332, 1.9700833333333334, 0.8525833333333334, -1, 13.271916666666668, 3.9010833333333323, 12.402833333333332, -1, 0.0, -1, 39.0, -1, 0, 0, 0, 0]",95.36542625427246,0,0
"[2, 9.934083333333332, 1.9700833333333334, 0.8525833333333334, -1, 13.271916666666668, 3.9010833333333323, 12.402833333333332, -1, 0.0, -1, 39.0, -1, 0, 0, 0, 0]",3,-12.92530704498291,"[3, 10.350083333333336, 2.0273333333333334, 0.8468333333333333, 0.9059166666666666, 13.54716666666667, 3.908416666666667, 12.438166666666662, 9.145166666666666, 0.0, 0.0, 38.266666666666666, 16.208333333333332, 0, 0, 0, 0]",129.2530704498291,0,0
"[3, 10.350083333333336, 2.0273333333333334, 0.8468333333333333, 0.9059166666666666, 13.54716666666667, 3.908416666666667, 12.438166666666662, 9.145166666666666, 0.0, 0.0, 38.266666666666666, 16.208333333333332, 0, 0, 0, 0]",4,-9.782733283996587,"[2, 9.910833333333333, 1.9694166666666666, 0.846, -1, 13.415083333333335, 3.8945000000000003, 12.445416666666663, -1, 0.0, -1, 38.0, -1, 0, 0, 0, 0]",97.82733283996586,0,0
"[2, 9.910833333333333, 1.9694166666666666, 0.846, -1, 13.415083333333335, 3.8945000000000003, 12.445416666666663, -1, 0.0, -1, 38.0, -1, 0, 0, 0, 0]",2,-7.261583545684819,"[0, 9.644916666666665, 2.0755833333333333, -1, -1, 13.375666666666664, 3.8946666666666663, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",72.61583545684819,0,0
"[0, 9.644916666666665, 2.0755833333333333, -1, -1, 13.375666666666664, 3.8946666666666663, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",0,-7.202757633209229,"[0, 9.4665, 2.0434166666666673, -1, -1, 13.365583333333321, 3.9013333333333295, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",72.0275763320923,0,0
"[0, 9.4665, 2.0434166666666673, -1, -1, 13.365583333333321, 3.9013333333333295, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",1,-9.253640727996828,"[2, 10.4705, 2.1824166666666667, 0.9017499999999999, -1, 14.328249999999999, 3.9160833333333334, 6.978166666666666, -1, 0.0, -1, 19.108333333333334, -1, 0, 0, 0, 0]",92.53640727996829,0,0
"[2, 10.4705, 2.1824166666666667, 0.9017499999999999, -1, 14.328249999999999, 3.9160833333333334, 6.978166666666666, -1, 0.0, -1, 19.108333333333334, -1, 0, 0, 0, 0]",3,-11.886363273620606,"[3, 10.17275, 2.220083333333333, 0.85925, 0.6929166666666666, 13.506666666666668, 3.912583333333333, 12.360166666666666, 6.856583333333334, 0.0, 0.0, 39.0, 16.708333333333332, 0, 0, 0, 0]",118.86363273620607,0,0
"[3, 10.17275, 2.220083333333333, 0.85925, 0.6929166666666666, 13.506666666666668, 3.912583333333333, 12.360166666666666, 6.856583333333334, 0.0, 0.0, 39.0, 16.708333333333332, 0, 0, 0, 0]",4,-9.59452388000488,"[2, 9.806000000000001, 2.0925000000000002, 0.8375833333333332, -1, 13.37375, 3.915833333333333, 12.394166666666669, -1, 0.0, -1, 39.0, -1, 0, 0, 0, 0]",95.9452388000488,0,0
"[2, 9.806000000000001, 2.0925000000000002, 0.8375833333333332, -1, 13.37375, 3.915833333333333, 12.394166666666669, -1, 0.0, -1, 39.0, -1, 0, 0, 0, 0]",0,-9.49167434692383,"[2, 9.796916666666666, 1.9493333333333327, 0.8571666666666669, -1, 13.212833333333355, 3.9022499999999947, 12.405666666666685, -1, 0.0, -1, 38.36666666666667, -1, 0, 0, 0, 0]",94.9167434692383,0,0
"[2, 9.796916666666666, 1.9493333333333327, 0.8571666666666669, -1, 13.212833333333355, 3.9022499999999947, 12.405666666666685, -1, 0.0, -1, 38.36666666666667, -1, 0, 0, 0, 0]",3,-11.981818176269533,"[3, 10.159583333333334, 2.01525, 0.8631666666666667, 0.74375, 13.4335, 3.90975, 12.425166666666671, 6.8557500000000005, 0.0, 0.0, 38.608333333333334, 16.416666666666668, 0, 0, 0, 0]",119.81818176269533,0,0
"[3, 10.159583333333334, 2.01525, 0.8631666666666667, 0.74375, 13.4335, 3.90975, 12.425166666666671, 6.8557500000000005, 0.0, 0.0, 38.608333333333334, 16.416666666666668, 0, 0, 0, 0]",0,-13.821129447937015,"[3, 9.95125, 1.9326666666666665, 0.8114166666666665, 0.820666666666667, 13.34649999999998, 3.8986666666666707, 12.435916666666692, 11.459833333333348, 0.0, 0.0, 39.0, 31.0, 0, 0, 0, 0]",138.21129447937014,0,0
"[3, 9.95125, 1.9326666666666665, 0.8114166666666665, 0.820666666666667, 13.34649999999998, 3.8986666666666707, 12.435916666666692, 11.459833333333348, 0.0, 0.0, 39.0, 31.0, 0, 0, 0, 0]",2,-10.460661766052246,"[1, 9.724583333333333, 1.9627500000000004, -1, 0.8320833333333335, 13.217833333333358, 3.906083333333323, -1, 11.513083333333324, -1, 0.0, -1, 31.0, 0, 0, 0, 0]",104.60661766052246,0,0
"[1, 9.724583333333333, 1.9627500000000004, -1, 0.8320833333333335, 13.217833333333358, 3.906083333333323, -1, 11.513083333333324, -1, 0.0, -1, 31.0, 0, 0, 0, 0]",4,-7.1357803192138665,"[0, 9.597333333333333, 1.9661666666666657, -1, -1, 13.194250000000027, 3.8881666666666637, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",71.35780319213866,0,0
"[0, 9.597333333333333, 1.9661666666666657, -1, -1, 13.194250000000027, 3.8881666666666637, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",3,-8.60175491333008,"[1, 10.03475, 2.0391666666666666, -1, 0.8114166666666665, 13.456250000000004, 3.883583333333333, -1, 9.131916666666665, -1, 0.0, -1, 16.65, 0, 0, 0, 0]",86.0175491333008,0,0
"[1, 10.03475, 2.0391666666666666, -1, 0.8114166666666665, 13.456250000000004, 3.883583333333333, -1, 9.131916666666665, -1, 0.0, -1, 16.65, 0, 0, 0, 0]",4,-7.276688495635985,"[0, 9.545666666666666, 1.9515833333333334, -1, -1, 13.373166666666698, 3.9017499999999967, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]",72.76688495635985,0,0
