timestamp,cluster_node_list,cpu_usage_percentage,node_status,cpu_reserve,mem_usage_percentage,mem_reserve,Power,Energy
2024/07/22 05:18:18,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.76, 'cillium3': 0.7}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.97, 'cillium3': 2.99}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:18:33,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.91, 'cillium3': 0.76}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.97, 'cillium3': 2.99}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:18:49,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.42, 'cillium3': 0.78}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.89, 'cillium3': 2.98}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:19:04,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.22, 'cillium3': 0.77}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.88, 'cillium3': 2.99}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:19:19,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.41, 'cillium3': 0.71}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.89, 'cillium3': 2.98}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:19:35,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.28, 'cillium3': 0.75}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.89, 'cillium3': 2.98}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:19:50,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.71, 'cillium3': 0.78}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.81, 'cillium3': 2.99}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:20:06,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.73, 'cillium3': 0.76}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.8, 'cillium3': 2.99}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:20:21,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.84, 'cillium3': 0.77}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.77, 'cillium3': 2.97}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:20:37,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.72, 'cillium3': 0.76}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.75, 'cillium3': 2.97}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:20:52,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.66, 'cillium3': 0.81}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.75, 'cillium3': 2.98}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:21:08,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.47, 'cillium3': 0.76}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.78, 'cillium3': 2.97}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:21:23,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.22, 'cillium3': 0.78}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.77, 'cillium3': 2.98}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:21:39,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.34, 'cillium3': 0.79}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.74, 'cillium3': 2.98}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:21:54,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.77, 'cillium3': 0.83}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.7, 'cillium3': 2.97}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:22:10,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.81, 'cillium3': 0.75}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.69, 'cillium3': 2.97}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:22:25,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.76, 'cillium3': 0.74}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.69, 'cillium3': 2.97}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:22:41,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.45, 'cillium3': 0.72}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.67, 'cillium3': 2.96}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:22:56,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.5, 'cillium3': 0.67}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.66, 'cillium3': 2.97}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:23:12,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.38, 'cillium3': 2.98}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.64, 'cillium3': 3.48}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:23:27,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.7, 'cillium3': 2.99}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.65, 'cillium3': 3.09}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:23:43,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.67, 'cillium3': 3.13}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.69, 'cillium3': 3.06}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:23:58,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.94, 'cillium3': 0.85}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.69, 'cillium3': 3.02}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:24:13,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.89, 'cillium3': 0.84}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.71, 'cillium3': 3.02}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:24:29,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.88, 'cillium3': 0.67}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.2, 'cillium3': 0}","{'cillium1': 7.7, 'cillium3': 3.02}","{'cillium1': 0.15, 'cillium3': 0}",80,80.6
2024/07/22 05:24:44,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 5.6, 'cillium3': 1.21}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.3, 'cillium3': 0.4}","{'cillium1': 7.69, 'cillium3': 3.14}","{'cillium1': 1.22, 'cillium3': 4.29}",100,80.6
2024/07/22 05:25:00,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 7.11, 'cillium3': 6.01}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.3, 'cillium3': 0.4}","{'cillium1': 8.1, 'cillium3': 4.64}","{'cillium1': 1.22, 'cillium3': 4.29}",80,80.6
2024/07/22 05:25:15,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 8.28, 'cillium3': 11.16}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.3, 'cillium3': 0.4}","{'cillium1': 8.45, 'cillium3': 6.55}","{'cillium1': 1.22, 'cillium3': 4.29}",100,80.6
2024/07/22 05:25:31,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 9.66, 'cillium3': 15.62}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.3, 'cillium3': 0.4}","{'cillium1': 8.74, 'cillium3': 6.07}","{'cillium1': 1.22, 'cillium3': 4.29}",100,80.6
2024/07/22 05:25:46,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 9.24, 'cillium3': 15.86}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.3, 'cillium3': 0.4}","{'cillium1': 9.36, 'cillium3': 6.0}","{'cillium1': 1.22, 'cillium3': 4.29}",100,80.6
2024/07/22 05:26:02,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 9.39, 'cillium3': 15.83}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.3, 'cillium3': 0.4}","{'cillium1': 8.07, 'cillium3': 6.17}","{'cillium1': 1.22, 'cillium3': 4.29}",100,80.6
2024/07/22 05:26:17,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 9.31, 'cillium3': 15.83}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.3, 'cillium3': 0.4}","{'cillium1': 8.37, 'cillium3': 5.21}","{'cillium1': 1.22, 'cillium3': 4.29}",80,80.6
2024/07/22 05:26:33,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium1': 9.21, 'cillium3': 15.87}","{'cillium4': False, 'cillium1': True, 'cillium2': False, 'cillium3': True}","{'cillium1': 0.3, 'cillium3': 0.4}","{'cillium1': 8.6, 'cillium3': 6.38}","{'cillium1': 1.22, 'cillium3': 4.29}",100,80.6
