timestamp,cluster_node_list,cpu_usage_percentage,node_status,cpu_reserve,mem_usage_percentage,mem_reserve,Power,Energy
2024/07/22 00:46:39,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium4': 0.37, 'cillium1': 5.69, 'cillium3': 0.73, 'cillium2': 0.83}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium4': 0, 'cillium1': 0.2, 'cillium3': 0, 'cillium2': 0}","{'cillium4': 3.14, 'cillium1': 6.43, 'cillium3': 2.91, 'cillium2': 3.21}","{'cillium4': 0, 'cillium1': 0.15, 'cillium3': 0, 'cillium2': 0}",130,79.8
2024/07/22 00:46:54,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium4': 0.43, 'cillium1': 7.63, 'cillium3': 0.77, 'cillium2': 0.79}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium4': 0, 'cillium1': 0.2, 'cillium3': 0, 'cillium2': 0}","{'cillium4': 3.14, 'cillium1': 6.54, 'cillium3': 2.91, 'cillium2': 3.21}","{'cillium4': 0, 'cillium1': 0.15, 'cillium3': 0, 'cillium2': 0}",120,79.8
2024/07/22 00:47:10,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium4': 0.44, 'cillium1': 7.77, 'cillium3': 0.69, 'cillium2': 0.92}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium4': 0, 'cillium1': 0.2, 'cillium3': 0, 'cillium2': 0}","{'cillium4': 3.14, 'cillium1': 6.51, 'cillium3': 2.91, 'cillium2': 3.2}","{'cillium4': 0, 'cillium1': 0.15, 'cillium3': 0, 'cillium2': 0}",140,79.8
2024/07/22 00:47:25,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium4': 0.49, 'cillium1': 7.47, 'cillium3': 0.82, 'cillium2': 0.93}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium4': 0, 'cillium1': 0.2, 'cillium3': 0, 'cillium2': 0}","{'cillium4': 3.14, 'cillium1': 6.42, 'cillium3': 2.91, 'cillium2': 3.2}","{'cillium4': 0, 'cillium1': 0.15, 'cillium3': 0, 'cillium2': 0}",120,79.8
2024/07/22 00:47:41,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium4': 0.44, 'cillium1': 6.01, 'cillium3': 1.05, 'cillium2': 1.16}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium3': 0.2, 'cillium2': 0.1}","{'cillium4': 3.14, 'cillium1': 6.38, 'cillium3': 2.97, 'cillium2': 3.23}","{'cillium4': 2.15, 'cillium1': 0.15, 'cillium3': 2.15, 'cillium2': 1.07}",140,79.8
2024/07/22 00:47:56,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium4': 2.11, 'cillium1': 7.19, 'cillium3': 3.74, 'cillium2': 2.36}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium3': 0.2, 'cillium2': 0.1}","{'cillium4': 6.57, 'cillium1': 6.55, 'cillium3': 5.36, 'cillium2': 4.95}","{'cillium4': 2.15, 'cillium1': 0.15, 'cillium3': 2.15, 'cillium2': 1.07}",140,79.8
2024/07/22 00:48:12,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium4': 4.57, 'cillium1': 8.17, 'cillium3': 6.18, 'cillium2': 3.59}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium3': 0.2, 'cillium2': 0.1}","{'cillium4': 4.36, 'cillium1': 6.59, 'cillium3': 3.87, 'cillium2': 4.86}","{'cillium4': 2.15, 'cillium1': 0.15, 'cillium3': 2.15, 'cillium2': 1.07}",150,79.8
2024/07/22 00:48:27,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium4': 7.09, 'cillium1': 8.79, 'cillium3': 8.37, 'cillium2': 4.7}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium3': 0.2, 'cillium2': 0.1}","{'cillium4': 5.72, 'cillium1': 6.62, 'cillium3': 4.76, 'cillium2': 4.8}","{'cillium4': 2.15, 'cillium1': 0.15, 'cillium3': 2.15, 'cillium2': 1.07}",140,79.8
2024/07/22 00:48:43,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium4': 7.95, 'cillium1': 8.45, 'cillium3': 8.26, 'cillium2': 4.61}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium3': 0.2, 'cillium2': 0.1}","{'cillium4': 4.12, 'cillium1': 6.62, 'cillium3': 4.72, 'cillium2': 4.6}","{'cillium4': 2.15, 'cillium1': 0.15, 'cillium3': 2.15, 'cillium2': 1.07}",150,79.8
2024/07/22 00:48:58,"['cillium4', 'cillium1', 'cillium2', 'cillium3']","{'cillium4': 8.69, 'cillium1': 8.19, 'cillium3': 8.2, 'cillium2': 4.55}","{'cillium4': True, 'cillium1': True, 'cillium2': True, 'cillium3': True}","{'cillium4': 0.2, 'cillium1': 0.2, 'cillium3': 0.2, 'cillium2': 0.1}","{'cillium4': 5.06, 'cillium1': 6.63, 'cillium3': 4.18, 'cillium2': 4.5}","{'cillium4': 2.15, 'cillium1': 0.15, 'cillium3': 2.15, 'cillium2': 1.07}",150,79.8
