timestamp,cluster_node_list,cpu_usage_percentage,node_status,cpu_reserve,mem_usage_percentage,mem_reserve,Power,Energy
2024/07/18 00:43:16,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 0.4, 'cillium1': 6.31, 'cillium3': 0.68, 'cillium2': 0.83}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium4': 0, 'cillium1': 0.2, 'cillium3': 0, 'cillium2': 0}","{'cillium4': 2.49, 'cillium1': 6.07, 'cillium3': 2.58, 'cillium2': 2.91}","{'cillium4': 0, 'cillium1': 0.15, 'cillium3': 0, 'cillium2': 0}",140,67.8
2024/07/18 00:44:17,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 0.45, 'cillium1': 7.47, 'cillium3': 0.71, 'cillium2': 0.87}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium4': 0, 'cillium1': 0.2, 'cillium3': 0, 'cillium2': 0}","{'cillium4': 2.49, 'cillium1': 6.03, 'cillium3': 2.58, 'cillium2': 2.92}","{'cillium4': 0, 'cillium1': 0.15, 'cillium3': 0, 'cillium2': 0}",120,67.8
2024/07/18 00:45:17,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 0.46, 'cillium1': 4.18, 'cillium3': 0.63, 'cillium2': 0.89}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium4': 0, 'cillium1': 0.2, 'cillium3': 0, 'cillium2': 0}","{'cillium4': 2.48, 'cillium1': 6.02, 'cillium3': 2.59, 'cillium2': 2.91}","{'cillium4': 0, 'cillium1': 0.15, 'cillium3': 0, 'cillium2': 0}",130,67.8
2024/07/18 00:46:18,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 0.42, 'cillium1': 4.05, 'cillium3': 0.62, 'cillium2': 0.82}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium4': 0, 'cillium1': 0.2, 'cillium3': 0, 'cillium2': 0}","{'cillium4': 2.49, 'cillium1': 6.01, 'cillium3': 2.57, 'cillium2': 2.91}","{'cillium4': 0, 'cillium1': 0.15, 'cillium3': 0, 'cillium2': 0}",120,67.8
2024/07/18 00:47:18,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 0.45, 'cillium1': 4.18, 'cillium3': 0.68, 'cillium2': 0.8}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium4': 0, 'cillium1': 0.2, 'cillium3': 0, 'cillium2': 0}","{'cillium4': 2.49, 'cillium1': 5.82, 'cillium3': 2.58, 'cillium2': 2.91}","{'cillium4': 0, 'cillium1': 0.15, 'cillium3': 0, 'cillium2': 0}",130,67.8
2024/07/18 00:48:19,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 0.43, 'cillium1': 4.0, 'cillium3': 0.58, 'cillium2': 0.9}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium4': 0, 'cillium1': 0.2, 'cillium3': 0, 'cillium2': 0}","{'cillium4': 2.48, 'cillium1': 5.82, 'cillium3': 2.58, 'cillium2': 2.91}","{'cillium4': 0, 'cillium1': 0.15, 'cillium3': 0, 'cillium2': 0}",130,67.8
2024/07/18 00:49:19,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 0.44, 'cillium1': 4.14, 'cillium3': 0.71, 'cillium2': 0.8}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium4': 0, 'cillium1': 0.2, 'cillium3': 0, 'cillium2': 0}","{'cillium4': 2.49, 'cillium1': 5.84, 'cillium3': 2.58, 'cillium2': 2.92}","{'cillium4': 0, 'cillium1': 0.15, 'cillium3': 0, 'cillium2': 0}",130,67.8
2024/07/18 00:50:20,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 0.39, 'cillium1': 4.13, 'cillium3': 0.62, 'cillium2': 0.83}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium4': 0, 'cillium1': 0.2, 'cillium3': 0, 'cillium2': 0}","{'cillium4': 2.49, 'cillium1': 5.81, 'cillium3': 2.59, 'cillium2': 2.92}","{'cillium4': 0, 'cillium1': 0.15, 'cillium3': 0, 'cillium2': 0}",120,67.8
2024/07/18 00:51:20,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 0.45, 'cillium1': 4.13, 'cillium3': 0.64, 'cillium2': 0.82}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium4': 0, 'cillium1': 0.2, 'cillium3': 0, 'cillium2': 0}","{'cillium4': 2.48, 'cillium1': 5.81, 'cillium3': 2.58, 'cillium2': 2.91}","{'cillium4': 0, 'cillium1': 0.15, 'cillium3': 0, 'cillium2': 0}",130,67.8
2024/07/18 00:52:21,"['cillium2', 'cillium3', 'cillium4', 'cillium1']","{'cillium4': 0.46, 'cillium1': 4.18, 'cillium3': 0.67, 'cillium2': 0.73}","{'cillium2': True, 'cillium3': True, 'cillium4': True, 'cillium1': True}","{'cillium4': 0, 'cillium1': 0.2, 'cillium3': 0, 'cillium2': 0}","{'cillium4': 2.49, 'cillium1': 5.78, 'cillium3': 2.58, 'cillium2': 2.9}","{'cillium4': 0, 'cillium1': 0.15, 'cillium3': 0, 'cillium2': 0}",130,67.8
